Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 6.6000E+001; 3.0007E+002; 6.6000E+001; 2.5464E+002; 6.6000E+001; 2.1519E+002; 6.6000E+001; 1.8216E+002; 6.6000E+001; 1.5343E+002; 6.6000E+001; 1.2873E+002; 6.6000E+001; 4.9815E+001;
 6.7000E+001; 3.0152E+002; 6.7000E+001; 2.5620E+002; 6.7000E+001; 2.1678E+002; 6.7000E+001; 1.8373E+002; 6.7000E+001; 1.5500E+002; 6.7000E+001; 1.3025E+002; 6.7000E+001; 5.0769E+001;
 6.8000E+001; 3.0294E+002; 6.8000E+001; 2.5774E+002; 6.8000E+001; 2.1836E+002; 6.8000E+001; 1.8529E+002; 6.8000E+001; 1.5656E+002; 6.8000E+001; 1.3177E+002; 6.8000E+001; 5.1728E+001;
 6.9000E+001; 3.0435E+002; 6.9000E+001; 2.5927E+002; 6.9000E+001; 2.1992E+002; 6.9000E+001; 1.8684E+002; 6.9000E+001; 1.5810E+002; 6.9000E+001; 1.3327E+002; 6.9000E+001; 5.2691E+001;
 7.0000E+001; 3.0574E+002; 7.0000E+001; 2.6078E+002; 7.0000E+001; 2.2147E+002; 7.0000E+001; 1.8836E+002; 7.0000E+001; 1.5963E+002; 7.0000E+001; 1.3477E+002; 7.0000E+001; 5.3658E+001;
 7.1000E+001; 3.0712E+002; 7.1000E+001; 2.6227E+002; 7.1000E+001; 2.2301E+002; 7.1000E+001; 1.8988E+002; 7.1000E+001; 1.6115E+002; 7.1000E+001; 1.3625E+002; 7.1000E+001; 5.4630E+001;
 7.2000E+001; 3.0848E+002; 7.2000E+001; 2.6374E+002; 7.2000E+001; 2.2453E+002; 7.2000E+001; 1.9137E+002; 7.2000E+001; 1.6266E+002; 7.2000E+001; 1.3773E+002; 7.2000E+001; 5.5605E+001;
 7.3000E+001; 3.0983E+002; 7.3000E+001; 2.6520E+002; 7.3000E+001; 2.2603E+002; 7.3000E+001; 1.9285E+002; 7.3000E+001; 1.6415E+002; 7.3000E+001; 1.3919E+002; 7.3000E+001; 5.6584E+001;
 7.4000E+001; 3.1116E+002; 7.4000E+001; 2.6665E+002; 7.4000E+001; 2.2752E+002; 7.4000E+001; 1.9432E+002; 7.4000E+001; 1.6563E+002; 7.4000E+001; 1.4064E+002; 7.4000E+001; 5.7566E+001;
 7.5000E+001; 3.1248E+002; 7.5000E+001; 2.6808E+002; 7.5000E+001; 2.2900E+002; 7.5000E+001; 1.9578E+002; 7.5000E+001; 1.6709E+002; 7.5000E+001; 1.4209E+002; 7.5000E+001; 5.8552E+001;
 7.6000E+001; 3.1379E+002; 7.6000E+001; 2.6949E+002; 7.6000E+001; 2.3047E+002; 7.6000E+001; 1.9722E+002; 7.6000E+001; 1.6855E+002; 7.6000E+001; 1.4352E+002; 7.6000E+001; 5.9540E+001;
 7.7000E+001; 3.1508E+002; 7.7000E+001; 2.7089E+002; 7.7000E+001; 2.3192E+002; 7.7000E+001; 1.9865E+002; 7.7000E+001; 1.6999E+002; 7.7000E+001; 1.4495E+002; 7.7000E+001; 6.0531E+001;
 7.8000E+001; 3.1636E+002; 7.8000E+001; 2.7227E+002; 7.8000E+001; 2.3336E+002; 7.8000E+001; 2.0007E+002; 7.8000E+001; 1.7142E+002; 7.8000E+001; 1.4636E+002; 7.8000E+001; 6.1524E+001;
 7.9000E+001; 3.1762E+002; 7.9000E+001; 2.7365E+002; 7.9000E+001; 2.3479E+002; 7.9000E+001; 2.0148E+002; 7.9000E+001; 1.7285E+002; 7.9000E+001; 1.4777E+002; 7.9000E+001; 6.2520E+001;
 8.0000E+001; 3.1887E+002; 8.0000E+001; 2.7501E+002; 8.0000E+001; 2.3620E+002; 8.0000E+001; 2.0288E+002; 8.0000E+001; 1.7426E+002; 8.0000E+001; 1.4917E+002; 8.0000E+001; 6.3518E+001;
 8.1000E+001; 3.2012E+002; 8.1000E+001; 2.7635E+002; 8.1000E+001; 2.3761E+002; 8.1000E+001; 2.0426E+002; 8.1000E+001; 1.7565E+002; 8.1000E+001; 1.5056E+002; 8.1000E+001; 6.4518E+001;
 8.2000E+001; 3.2135E+002; 8.2000E+001; 2.7768E+002; 8.2000E+001; 2.3900E+002; 8.2000E+001; 2.0564E+002; 8.2000E+001; 1.7704E+002; 8.2000E+001; 1.5194E+002; 8.2000E+001; 6.5519E+001;
 8.3000E+001; 3.2257E+002; 8.3000E+001; 2.7901E+002; 8.3000E+001; 2.4038E+002; 8.3000E+001; 2.0701E+002; 8.3000E+001; 1.7842E+002; 8.3000E+001; 1.5331E+002; 8.3000E+001; 6.6522E+001;
 8.4000E+001; 3.2377E+002; 8.4000E+001; 2.8032E+002; 8.4000E+001; 2.4175E+002; 8.4000E+001; 2.0837E+002; 8.4000E+001; 1.7979E+002; 8.4000E+001; 1.5468E+002; 8.4000E+001; 6.7527E+001;
 8.5000E+001; 3.2497E+002; 8.5000E+001; 2.8161E+002; 8.5000E+001; 2.4311E+002; 8.5000E+001; 2.0972E+002; 8.5000E+001; 1.8115E+002; 8.5000E+001; 1.5603E+002; 8.5000E+001; 6.8532E+001;
 8.6000E+001; 3.2616E+002; 8.6000E+001; 2.8290E+002; 8.6000E+001; 2.4446E+002; 8.6000E+001; 2.1107E+002; 8.6000E+001; 1.8250E+002; 8.6000E+001; 1.5738E+002; 8.6000E+001; 6.9539E+001;
 8.7000E+001; 3.2734E+002; 8.7000E+001; 2.8418E+002; 8.7000E+001; 2.4579E+002; 8.7000E+001; 2.1240E+002; 8.7000E+001; 1.8383E+002; 8.7000E+001; 1.5872E+002; 8.7000E+001; 7.0547E+001;
 8.8000E+001; 3.2851E+002; 8.8000E+001; 2.8544E+002; 8.8000E+001; 2.4712E+002; 8.8000E+001; 2.1373E+002; 8.8000E+001; 1.8516E+002; 8.8000E+001; 1.6005E+002; 8.8000E+001; 7.1555E+001;
 8.9000E+001; 3.2967E+002; 8.9000E+001; 2.8670E+002; 8.9000E+001; 2.4843E+002; 8.9000E+001; 2.1505E+002; 8.9000E+001; 1.8648E+002; 8.9000E+001; 1.6138E+002; 8.9000E+001; 7.2564E+001;
 9.0000E+001; 3.3081E+002; 9.0000E+001; 2.8794E+002; 9.0000E+001; 2.4974E+002; 9.0000E+001; 2.1637E+002; 9.0000E+001; 1.8780E+002; 9.0000E+001; 1.6269E+002; 9.0000E+001; 7.3573E+001;
 9.1000E+001; 3.3196E+002; 9.1000E+001; 2.8918E+002; 9.1000E+001; 2.5104E+002; 9.1000E+001; 2.1767E+002; 9.1000E+001; 1.8910E+002; 9.1000E+001; 1.6400E+002; 9.1000E+001; 7.4583E+001;
