Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 5.5000E+001; 8.9484E-001; 5.5000E+001; 8.8713E-001; 5.5000E+001; 8.8550E-001; 5.5000E+001; 8.4244E-001; 5.5000E+001; 8.2413E-001; 5.5000E+001; 8.1633E-001; 5.5000E+001; 8.9341E-001;
 5.6000E+001; 8.9491E-001; 5.6000E+001; 8.8718E-001; 5.6000E+001; 8.8652E-001; 5.6000E+001; 8.4360E-001; 5.6000E+001; 8.2439E-001; 5.6000E+001; 8.1640E-001; 5.6000E+001; 8.9341E-001;
 5.7000E+001; 8.9497E-001; 5.7000E+001; 8.8724E-001; 5.7000E+001; 8.8738E-001; 5.7000E+001; 8.4486E-001; 5.7000E+001; 8.2468E-001; 5.7000E+001; 8.1648E-001; 5.7000E+001; 8.9341E-001;
 5.8000E+001; 8.9504E-001; 5.8000E+001; 8.8730E-001; 5.8000E+001; 8.8809E-001; 5.8000E+001; 8.4623E-001; 5.8000E+001; 8.2500E-001; 5.8000E+001; 8.1657E-001; 5.8000E+001; 8.9341E-001;
 5.9000E+001; 8.9511E-001; 5.9000E+001; 8.8736E-001; 5.9000E+001; 8.8868E-001; 5.9000E+001; 8.4772E-001; 5.9000E+001; 8.2534E-001; 5.9000E+001; 8.1667E-001; 5.9000E+001; 8.9341E-001;
 6.0000E+001; 8.9519E-001; 6.0000E+001; 8.8742E-001; 6.0000E+001; 8.8917E-001; 6.0000E+001; 8.4931E-001; 6.0000E+001; 8.2572E-001; 6.0000E+001; 8.1677E-001; 6.0000E+001; 8.9341E-001;
 6.1000E+001; 8.9526E-001; 6.1000E+001; 8.8748E-001; 6.1000E+001; 8.8958E-001; 6.1000E+001; 8.5102E-001; 6.1000E+001; 8.2613E-001; 6.1000E+001; 8.1688E-001; 6.1000E+001; 8.9341E-001;
 6.2000E+001; 8.9533E-001; 6.2000E+001; 8.8754E-001; 6.2000E+001; 8.8994E-001; 6.2000E+001; 8.5284E-001; 6.2000E+001; 8.2657E-001; 6.2000E+001; 8.1700E-001; 6.2000E+001; 8.9341E-001;
 6.3000E+001; 8.9541E-001; 6.3000E+001; 8.8760E-001; 6.3000E+001; 8.9024E-001; 6.3000E+001; 8.5478E-001; 6.3000E+001; 8.2704E-001; 6.3000E+001; 8.1714E-001; 6.3000E+001; 8.9341E-001;
 6.4000E+001; 8.9549E-001; 6.4000E+001; 8.8767E-001; 6.4000E+001; 8.9050E-001; 6.4000E+001; 8.5682E-001; 6.4000E+001; 8.2756E-001; 6.4000E+001; 8.1728E-001; 6.4000E+001; 8.9341E-001;
