Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 7.5000E+001; 3.1087E+002; 7.5000E+001; 2.6270E+002; 7.5000E+001; 2.2046E+002; 7.5000E+001; 1.8405E+002; 7.5000E+001; 1.5306E+002; 7.5000E+001; 1.2702E+002; 7.5000E+001; 4.6967E+001;
 7.6000E+001; 3.1231E+002; 7.6000E+001; 2.6419E+002; 7.6000E+001; 2.2198E+002; 7.6000E+001; 1.8555E+002; 7.6000E+001; 1.5451E+002; 7.6000E+001; 1.2840E+002; 7.6000E+001; 4.7741E+001;
 7.7000E+001; 3.1374E+002; 7.7000E+001; 2.6567E+002; 7.7000E+001; 2.2348E+002; 7.7000E+001; 1.8703E+002; 7.7000E+001; 1.5595E+002; 7.7000E+001; 1.2976E+002; 7.7000E+001; 4.8519E+001;
 7.8000E+001; 3.1515E+002; 7.8000E+001; 2.6713E+002; 7.8000E+001; 2.2497E+002; 7.8000E+001; 1.8851E+002; 7.8000E+001; 1.5738E+002; 7.8000E+001; 1.3112E+002; 7.8000E+001; 4.9301E+001;
 7.9000E+001; 3.1655E+002; 7.9000E+001; 2.6857E+002; 7.9000E+001; 2.2644E+002; 7.9000E+001; 1.8997E+002; 7.9000E+001; 1.5879E+002; 7.9000E+001; 1.3247E+002; 7.9000E+001; 5.0085E+001;
 8.0000E+001; 3.1794E+002; 8.0000E+001; 2.7000E+002; 8.0000E+001; 2.2790E+002; 8.0000E+001; 1.9142E+002; 8.0000E+001; 1.6020E+002; 8.0000E+001; 1.3382E+002; 8.0000E+001; 5.0872E+001;
 8.1000E+001; 3.1931E+002; 8.1000E+001; 2.7141E+002; 8.1000E+001; 2.2934E+002; 8.1000E+001; 1.9285E+002; 8.1000E+001; 1.6160E+002; 8.1000E+001; 1.3515E+002; 8.1000E+001; 5.1662E+001;
 8.2000E+001; 3.2066E+002; 8.2000E+001; 2.7281E+002; 8.2000E+001; 2.3077E+002; 8.2000E+001; 1.9428E+002; 8.2000E+001; 1.6299E+002; 8.2000E+001; 1.3648E+002; 8.2000E+001; 5.2454E+001;
 8.3000E+001; 3.2201E+002; 8.3000E+001; 2.7419E+002; 8.3000E+001; 2.3219E+002; 8.3000E+001; 1.9569E+002; 8.3000E+001; 1.6437E+002; 8.3000E+001; 1.3780E+002; 8.3000E+001; 5.3248E+001;
 8.4000E+001; 3.2334E+002; 8.4000E+001; 2.7556E+002; 8.4000E+001; 2.3360E+002; 8.4000E+001; 1.9709E+002; 8.4000E+001; 1.6573E+002; 8.4000E+001; 1.3912E+002; 8.4000E+001; 5.4044E+001;
 8.5000E+001; 3.2465E+002; 8.5000E+001; 2.7692E+002; 8.5000E+001; 2.3499E+002; 8.5000E+001; 1.9848E+002; 8.5000E+001; 1.6709E+002; 8.5000E+001; 1.4042E+002; 8.5000E+001; 5.4841E+001;
