Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 5.0000E+001; 2.7467E+002; 5.0000E+001; 2.2126E+002; 5.0000E+001; 1.7870E+002; 5.0000E+001; 1.4355E+002; 5.0000E+001; 1.1449E+002; 5.0000E+001; 9.1026E+001; 5.0000E+001; 2.9364E+001;
 5.1000E+001; 2.7650E+002; 5.1000E+001; 2.2322E+002; 5.1000E+001; 1.8059E+002; 5.1000E+001; 1.4542E+002; 5.1000E+001; 1.1625E+002; 5.1000E+001; 9.2627E+001; 5.1000E+001; 2.9938E+001;
 5.2000E+001; 2.7829E+002; 5.2000E+001; 2.2515E+002; 5.2000E+001; 1.8246E+002; 5.2000E+001; 1.4727E+002; 5.2000E+001; 1.1799E+002; 5.2000E+001; 9.4216E+001; 5.2000E+001; 3.0525E+001;
 5.3000E+001; 2.8006E+002; 5.3000E+001; 2.2704E+002; 5.3000E+001; 1.8430E+002; 5.3000E+001; 1.4909E+002; 5.3000E+001; 1.1972E+002; 5.3000E+001; 9.5794E+001; 5.3000E+001; 3.1125E+001;
 5.4000E+001; 2.8179E+002; 5.4000E+001; 2.2891E+002; 5.4000E+001; 1.8611E+002; 5.4000E+001; 1.5089E+002; 5.4000E+001; 1.2143E+002; 5.4000E+001; 9.7359E+001; 5.4000E+001; 3.1736E+001;
 5.5000E+001; 2.8350E+002; 5.5000E+001; 2.3075E+002; 5.5000E+001; 1.8789E+002; 5.5000E+001; 1.5267E+002; 5.5000E+001; 1.2311E+002; 5.5000E+001; 9.8913E+001; 5.5000E+001; 3.2358E+001;
 5.6000E+001; 2.8517E+002; 5.6000E+001; 2.3256E+002; 5.6000E+001; 1.8965E+002; 5.6000E+001; 1.5442E+002; 5.6000E+001; 1.2479E+002; 5.6000E+001; 1.0045E+002; 5.6000E+001; 3.2992E+001;
 5.7000E+001; 2.8683E+002; 5.7000E+001; 2.3435E+002; 5.7000E+001; 1.9138E+002; 5.7000E+001; 1.5615E+002; 5.7000E+001; 1.2644E+002; 5.7000E+001; 1.0199E+002; 5.7000E+001; 3.3635E+001;
 5.8000E+001; 2.8845E+002; 5.8000E+001; 2.3611E+002; 5.8000E+001; 1.9309E+002; 5.8000E+001; 1.5786E+002; 5.8000E+001; 1.2808E+002; 5.8000E+001; 1.0350E+002; 5.8000E+001; 3.4289E+001;
 5.9000E+001; 2.9006E+002; 5.9000E+001; 2.3784E+002; 5.9000E+001; 1.9478E+002; 5.9000E+001; 1.5955E+002; 5.9000E+001; 1.2970E+002; 5.9000E+001; 1.0501E+002; 5.9000E+001; 3.4953E+001;
