Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 5.0000E+001; 2.7422E+002; 5.0000E+001; 2.2096E+002; 5.0000E+001; 1.7892E+002; 5.0000E+001; 1.4380E+002; 5.0000E+001; 1.1477E+002; 5.0000E+001; 9.1329E+001; 5.0000E+001; 2.9631E+001;
 5.1000E+001; 2.7608E+002; 5.1000E+001; 2.2295E+002; 5.1000E+001; 1.8086E+002; 5.1000E+001; 1.4571E+002; 5.1000E+001; 1.1656E+002; 5.1000E+001; 9.2952E+001; 5.1000E+001; 3.0212E+001;
 5.2000E+001; 2.7792E+002; 5.2000E+001; 2.2490E+002; 5.2000E+001; 1.8276E+002; 5.2000E+001; 1.4759E+002; 5.2000E+001; 1.1833E+002; 5.2000E+001; 9.4562E+001; 5.2000E+001; 3.0806E+001;
 5.3000E+001; 2.7973E+002; 5.3000E+001; 2.2683E+002; 5.3000E+001; 1.8463E+002; 5.3000E+001; 1.4944E+002; 5.3000E+001; 1.2008E+002; 5.3000E+001; 9.6160E+001; 5.3000E+001; 3.1412E+001;
 5.4000E+001; 2.8150E+002; 5.4000E+001; 2.2873E+002; 5.4000E+001; 1.8647E+002; 5.4000E+001; 1.5126E+002; 5.4000E+001; 1.2181E+002; 5.4000E+001; 9.7747E+001; 5.4000E+001; 3.2030E+001;
 5.5000E+001; 2.8325E+002; 5.5000E+001; 2.3060E+002; 5.5000E+001; 1.8828E+002; 5.5000E+001; 1.5307E+002; 5.5000E+001; 1.2353E+002; 5.5000E+001; 9.9322E+001; 5.5000E+001; 3.2659E+001;
 5.6000E+001; 2.8497E+002; 5.6000E+001; 2.3244E+002; 5.6000E+001; 1.9006E+002; 5.6000E+001; 1.5485E+002; 5.6000E+001; 1.2522E+002; 5.6000E+001; 1.0088E+002; 5.6000E+001; 3.3300E+001;
 5.7000E+001; 2.8665E+002; 5.7000E+001; 2.3426E+002; 5.7000E+001; 1.9182E+002; 5.7000E+001; 1.5660E+002; 5.7000E+001; 1.2690E+002; 5.7000E+001; 1.0244E+002; 5.7000E+001; 3.3951E+001;
 5.8000E+001; 2.8831E+002; 5.8000E+001; 2.3605E+002; 5.8000E+001; 1.9355E+002; 5.8000E+001; 1.5834E+002; 5.8000E+001; 1.2856E+002; 5.8000E+001; 1.0398E+002; 5.8000E+001; 3.4612E+001;
 5.9000E+001; 2.8995E+002; 5.9000E+001; 2.3781E+002; 5.9000E+001; 1.9526E+002; 5.9000E+001; 1.6005E+002; 5.9000E+001; 1.3021E+002; 5.9000E+001; 1.0550E+002; 5.9000E+001; 3.5283E+001;
 6.0000E+001; 2.9156E+002; 6.0000E+001; 2.3955E+002; 6.0000E+001; 1.9695E+002; 6.0000E+001; 1.6174E+002; 6.0000E+001; 1.3184E+002; 6.0000E+001; 1.0702E+002; 6.0000E+001; 3.5963E+001;
 6.1000E+001; 2.9314E+002; 6.1000E+001; 2.4126E+002; 6.1000E+001; 1.9861E+002; 6.1000E+001; 1.6341E+002; 6.1000E+001; 1.3345E+002; 6.1000E+001; 1.0853E+002; 6.1000E+001; 3.6652E+001;
