Time(min)   ;T_00mm      ;Time(min)   ;T_10mm      ;Time(min)   ;T_20mm      ;Time(min)   ;T_30mm      ;Time(min)   ;T_40mm      ;Time(min)   ;T_50mm      ;Time(min)   ;T_120mm     ;
 4.8000E+001; 1.4778E+002; 4.8000E+001; 1.1791E+002; 4.8000E+001; 9.4735E+001; 4.8000E+001; 7.6160E+001; 4.8000E+001; 6.1385E+001; 4.8000E+001; 4.9781E+001; 4.8000E+001; 1.8027E+001;
 4.9000E+001; 1.4947E+002; 4.9000E+001; 1.1946E+002; 4.9000E+001; 9.6122E+001; 4.9000E+001; 7.7380E+001; 4.9000E+001; 6.2431E+001; 4.9000E+001; 5.0657E+001; 4.9000E+001; 1.8230E+001;
 5.0000E+001; 1.5114E+002; 5.0000E+001; 1.2099E+002; 5.0000E+001; 9.7501E+001; 5.0000E+001; 7.8595E+001; 5.0000E+001; 6.3477E+001; 5.0000E+001; 5.1536E+001; 5.0000E+001; 1.8441E+001;
 5.1000E+001; 1.5280E+002; 5.1000E+001; 1.2251E+002; 5.1000E+001; 9.8870E+001; 5.1000E+001; 7.9805E+001; 5.1000E+001; 6.4521E+001; 5.1000E+001; 5.2417E+001; 5.1000E+001; 1.8657E+001;
 5.2000E+001; 1.5443E+002; 5.2000E+001; 1.2401E+002; 5.2000E+001; 1.0023E+002; 5.2000E+001; 8.1010E+001; 5.2000E+001; 6.5564E+001; 5.2000E+001; 5.3299E+001; 5.2000E+001; 1.8881E+001;
 5.3000E+001; 1.5605E+002; 5.3000E+001; 1.2551E+002; 5.3000E+001; 1.0158E+002; 5.3000E+001; 8.2210E+001; 5.3000E+001; 6.6606E+001; 5.3000E+001; 5.4183E+001; 5.3000E+001; 1.9111E+001;
 5.4000E+001; 1.5765E+002; 5.4000E+001; 1.2698E+002; 5.4000E+001; 1.0292E+002; 5.4000E+001; 8.3404E+001; 5.4000E+001; 6.7646E+001; 5.4000E+001; 5.5069E+001; 5.4000E+001; 1.9347E+001;
 5.5000E+001; 1.5923E+002; 5.5000E+001; 1.2845E+002; 5.5000E+001; 1.0425E+002; 5.5000E+001; 8.4593E+001; 5.5000E+001; 6.8684E+001; 5.5000E+001; 5.5956E+001; 5.5000E+001; 1.9590E+001;
 5.6000E+001; 1.6079E+002; 5.6000E+001; 1.2990E+002; 5.6000E+001; 1.0558E+002; 5.6000E+001; 8.5777E+001; 5.6000E+001; 6.9719E+001; 5.6000E+001; 5.6844E+001; 5.6000E+001; 1.9838E+001;
 5.7000E+001; 1.6234E+002; 5.7000E+001; 1.3134E+002; 5.7000E+001; 1.0689E+002; 5.7000E+001; 8.6955E+001; 5.7000E+001; 7.0753E+001; 5.7000E+001; 5.7732E+001; 5.7000E+001; 2.0093E+001;
 5.8000E+001; 1.6387E+002; 5.8000E+001; 1.3276E+002; 5.8000E+001; 1.0820E+002; 5.8000E+001; 8.8127E+001; 5.8000E+001; 7.1785E+001; 5.8000E+001; 5.8621E+001; 5.8000E+001; 2.0354E+001;
 5.9000E+001; 1.6539E+002; 5.9000E+001; 1.3417E+002; 5.9000E+001; 1.0949E+002; 5.9000E+001; 8.9293E+001; 5.9000E+001; 7.2814E+001; 5.9000E+001; 5.9511E+001; 5.9000E+001; 2.0621E+001;
 6.0000E+001; 1.6688E+002; 6.0000E+001; 1.3557E+002; 6.0000E+001; 1.1078E+002; 6.0000E+001; 9.0454E+001; 6.0000E+001; 7.3840E+001; 6.0000E+001; 6.0400E+001; 6.0000E+001; 2.0893E+001;
 6.1000E+001; 1.6837E+002; 6.1000E+001; 1.3696E+002; 6.1000E+001; 1.1205E+002; 6.1000E+001; 9.1608E+001; 6.1000E+001; 7.4863E+001; 6.1000E+001; 6.1290E+001; 6.1000E+001; 2.1172E+001;
 6.2000E+001; 1.6983E+002; 6.2000E+001; 1.3833E+002; 6.2000E+001; 1.1332E+002; 6.2000E+001; 9.2757E+001; 6.2000E+001; 7.5884E+001; 6.2000E+001; 6.2180E+001; 6.2000E+001; 2.1455E+001;
 6.3000E+001; 1.7129E+002; 6.3000E+001; 1.3969E+002; 6.3000E+001; 1.1458E+002; 6.3000E+001; 9.3900E+001; 6.3000E+001; 7.6902E+001; 6.3000E+001; 6.3069E+001; 6.3000E+001; 2.1745E+001;
 6.4000E+001; 1.7272E+002; 6.4000E+001; 1.4104E+002; 6.4000E+001; 1.1583E+002; 6.4000E+001; 9.5037E+001; 6.4000E+001; 7.7917E+001; 6.4000E+001; 6.3958E+001; 6.4000E+001; 2.2039E+001;
 6.5000E+001; 1.7415E+002; 6.5000E+001; 1.4238E+002; 6.5000E+001; 1.1707E+002; 6.5000E+001; 9.6167E+001; 6.5000E+001; 7.8928E+001; 6.5000E+001; 6.4846E+001; 6.5000E+001; 2.2339E+001;
